SiteID,County,City,DBA,Licensee,PremisesStreet,PremisesCityState,LicenseNumber,LicenseType,Status,IssueDate,EffectiveDate,ExpiryDate
6285,Fayette,Lexington,Malone's,"LEXINGTON CHOICE RESTAURANT, LLC ",1920 Pleasant Ridge Dr,"Lexington, KY 40509",034-NQ2-1546,NQ2 Retail Drink License,Active,5/13/13,6/25/13,11/30/22
6285,Fayette,Lexington,Malone's,"LEXINGTON CHOICE RESTAURANT, LLC ",1920 Pleasant Ridge Dr,"Lexington, KY 40509",034-SB-1148,Supplemental Bar License,Active,5/13/13,6/25/13,11/30/22
6285,Fayette,Lexington,Malone's,"LEXINGTON CHOICE RESTAURANT, LLC ",1920 Pleasant Ridge Dr,"Lexington, KY 40509",034-RS-2870,Special Sunday Retail Drink License,Active,5/13/13,6/25/13,11/30/22
5585,Fayette,Lexington,Malone's,"MALONE'S OF LEXINGTON, LLC ",3347 Tates Creek Rd,"Lexington, KY 40502",034-NQ2-1012,NQ2 Retail Drink License,Active,5/13/13,6/25/13,11/30/22
5585,Fayette,Lexington,Malone's,"MALONE'S OF LEXINGTON, LLC ",3347 Tates Creek Rd,"Lexington, KY 40502",034-SB-1005,Supplemental Bar License,Active,5/13/13,6/25/13,11/30/22
5585,Fayette,Lexington,Malone's,"MALONE'S OF LEXINGTON, LLC ",3347 Tates Creek Rd,"Lexington, KY 40502",034-RS-2344,Special Sunday Retail Drink License,Active,5/13/13,6/25/13,11/30/22
10051,Fayette,Lexington,Malone's Prime/OBC,"SAL'S RESTAURANT, LLC ",3373 Tates Creek Rd,"Lexington, KY 40502",034-NQ2-1011,NQ2 Retail Drink License,Active,5/13/13,6/25/13,11/30/22
10051,Fayette,Lexington,Malone's Prime/OBC,"SAL'S RESTAURANT, LLC ",3373 Tates Creek Rd,"Lexington, KY 40502",034-RS-2343,Special Sunday Retail Drink License,Active,5/13/13,6/25/13,11/30/22
10051,Fayette,Lexington,Malone's Prime/OBC,"SAL'S RESTAURANT, LLC ",3373 Tates Creek Rd,"Lexington, KY 40502",034-CL-408,Caterer's License,Active,11/30/15,12/1/15,11/30/22
10051,Fayette,Lexington,Malone's Prime/OBC,"SAL'S RESTAURANT, LLC ",3373 Tates Creek Rd,"Lexington, KY 40502",034-LP-2488,Quota Retail Package License,Active,9/6/18,9/6/18,11/30/22
10051,Fayette,Lexington,Malone's Prime/OBC,"SAL'S RESTAURANT, LLC ",3373 Tates Creek Rd,"Lexington, KY 40502",034-SB-1003,Supplemental Bar License,Active,5/13/13,6/25/13,11/30/22
13348,Fayette,Lexington,Malone's Restaurant,"BHG PALOMAR, LLC ",3735 Palomar Centre Dr Ste 200,"Lexington, KY 40513",034-NQ2-1235,NQ2 Retail Drink License,Active,5/13/13,6/25/13,11/30/22
13348,Fayette,Lexington,Malone's Restaurant,"BHG PALOMAR, LLC ",3735 Palomar Centre Dr Ste 200,"Lexington, KY 40513",034-RS-0705,Special Sunday Retail Drink License,Active,6/18/08,6/18/08,11/30/22
